"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Layer","Rotation"
"R198","R0402","6287.403","4181.102","TopLayer","180"
"R199","R0402","5523.623","3988.189","TopLayer","180"
"R200","R0402","6287.403","4141.732","TopLayer","180"
"R201","R0402","6141.733","4468.504","TopLayer","270"
"R202","R0402","6051.182","4468.504","TopLayer","270"
"R203","R0402","6090.552","4468.504","TopLayer","270"
"R204","R0402","6287.403","4259.842","TopLayer","180"
"R205","R0805","5511.811","4385.827","TopLayer","270"
"R206","R0402","6011.811","4468.504","TopLayer","90"
"R207","R0402","5972.441","4468.504","TopLayer","90"
"R208","R0402","5933.071","4468.504","TopLayer","90"
"R209","R0402","5641.733","4082.677","TopLayer","0"
"R210","R0402","6118.110","4527.559","TopLayer","0"
"R211","R0402","5893.702","4468.504","TopLayer","90"
"R212","R0402","6287.403","4023.622","TopLayer","180"
"R213","R0402","6287.403","4062.992","TopLayer","180"
"R214","R0402","6287.403","4102.362","TopLayer","180"
"R215","R0402","5641.733","4248.031","TopLayer","180"
"R228","R0402","9586.614","5440.945","TopLayer","0"
"R229","R0402","9586.614","5291.339","TopLayer","0"
"R230","R0402","9586.614","5342.520","TopLayer","0"
"R231","R0402","9586.614","5393.701","TopLayer","0"
"R232","R0402","9980.315","5543.307","TopLayer","0"
"R233","R0402","9980.315","5492.126","TopLayer","0"
"R234","R0402","9161.417","5271.654","TopLayer","180"
"R235","R1206","14299.212","4629.921","TopLayer","180"
"R236","R1206","14464.567","4629.921","TopLayer","0"
"R237","R1206","14299.212","4543.307","TopLayer","180"
"R238","R1206","14464.567","4543.307","TopLayer","0"
"R239","R0402","14307.087","5637.795","TopLayer","90"
"R240","R1206","14452.756","4417.323","TopLayer","270"
"R241","R0402","14055.118","5562.992","TopLayer","90"
"R242","R0402","14291.339","5216.535","TopLayer","180"
"R243","R0402","14007.874","8405.512","TopLayer","90"
"R244","R0402","7744.095","3870.079","TopLayer","180"
"R245","R2512","8799.213","4066.929","TopLayer","90"
"R246","R0402","8606.299","4318.898","TopLayer","45"
"R247","R0402","8429.134","3732.284","TopLayer","90"
"R248","R0402","7740.158","4118.110","TopLayer","0"
"R249","R0402","8456.693","3968.504","TopLayer","180"
"R250","R0402","7744.095","3775.591","TopLayer","180"
"R251","R0402","12283.465","6779.528","TopLayer","0"
"R252","R0402","12181.102","6952.756","TopLayer","180"
