"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Layer","Rotation"
"R70A","R0402","17220.472","3657.481","TopLayer","0"
"R71A","R0402","17220.472","3618.110","TopLayer","180"
"R72A","R0402","17220.472","3578.740","TopLayer","180"
"R73A","R0402","17220.472","3539.370","TopLayer","180"
"R74A","R0402","17220.472","3500.000","TopLayer","0"
"R75A","R0402","16858.268","3566.929","TopLayer","180"
"R128A","R0402","19889.764","3653.543","TopLayer","0"
"R129A","R0402","19889.764","3614.173","TopLayer","0"
"R8B","R0603","15444.882","4122.047","TopLayer","90"
"R10B","R1206","15579.717","4112.827","TopLayer","90"
"R12B","R0402","19889.764","2972.441","TopLayer","180"
"R13B","R0402","19889.764","2720.472","TopLayer","180"
"R14B","R0603","15232.283","4263.779","TopLayer","90"
"R66B","R1206","15307.087","4125.984","TopLayer","0"
"R67B","R0402","15473.417","4408.102","TopLayer","180"
"R68B","R0402","15386.803","4408.102","TopLayer","180"
"R69B","R0402","17220.472","3972.441","TopLayer","0"
"R70B","R0402","17220.472","3933.071","TopLayer","0"
"R71B","R0402","17220.472","3893.701","TopLayer","180"
"R72B","R0402","17220.472","3854.331","TopLayer","180"
"R73B","R0402","17220.472","3814.961","TopLayer","180"
"R74B","R0402","17220.472","3775.591","TopLayer","0"
"R75B","R0402","16858.268","3842.520","TopLayer","180"
"R128B","R0402","19889.764","2866.142","TopLayer","0"
"R129B","R0402","19889.764","2826.772","TopLayer","0"
"R8C","R0603","14814.961","4122.047","TopLayer","90"
"R10C","R1206","14949.795","4112.827","TopLayer","90"
"R14C","R0603","14602.362","4263.779","TopLayer","90"
"R66C","R1206","14677.165","4125.984","TopLayer","0"
"R67C","R0402","14843.496","4408.102","TopLayer","180"
"R68C","R0402","14756.882","4408.102","TopLayer","180"
"R69C","R0402","17220.472","4248.032","TopLayer","0"
"R70C","R0402","17220.472","4208.662","TopLayer","0"
"R71C","R0402","17220.472","4169.292","TopLayer","180"
"R72C","R0402","17220.472","4129.921","TopLayer","180"
"R73C","R0402","17220.472","4090.551","TopLayer","180"
"R74C","R0402","17220.472","4051.181","TopLayer","0"
"R75C","R0402","16858.268","4118.110","TopLayer","180"
"R8D","R0603","14185.039","4122.047","TopLayer","90"
"R10D","R1206","14319.874","4112.827","TopLayer","90"
"R14D","R0603","13972.441","4263.779","TopLayer","90"
"R66D","R1206","14047.244","4125.984","TopLayer","0"
"R67D","R0402","14213.575","4408.102","TopLayer","180"
"R68D","R0402","14126.961","4408.102","TopLayer","180"
"R69D","R0402","17220.472","4523.622","TopLayer","0"
"R70D","R0402","17220.472","4484.252","TopLayer","0"
"R71D","R0402","17220.472","4444.882","TopLayer","180"
"R72D","R0402","17220.472","4405.512","TopLayer","180"
"R73D","R0402","17220.472","4366.142","TopLayer","180"
"R74D","R0402","17220.472","4326.772","TopLayer","0"
"R75D","R0402","16858.268","4393.701","TopLayer","180"
"R8E","R0603","13555.118","4122.047","TopLayer","90"
"R10E","R1206","13689.953","4112.827","TopLayer","90"
"R14E","R0603","13342.520","4263.779","TopLayer","90"
"R66E","R1206","13417.323","4125.984","TopLayer","0"
"R67E","R0402","13583.654","4408.102","TopLayer","180"
"R68E","R0402","13497.039","4408.102","TopLayer","180"
"R8F","R0603","12925.197","4122.047","TopLayer","90"
"R10F","R1206","13060.031","4112.827","TopLayer","90"
"R14F","R0603","12712.598","4263.779","TopLayer","90"
"R66F","R1206","12787.402","4125.984","TopLayer","0"
"R67F","R0402","12953.732","4408.102","TopLayer","180"
"R68F","R0402","12867.118","4408.102","TopLayer","180"
"R8G","R0603","12295.276","4122.047","TopLayer","90"
"R10G","R1206","12430.110","4112.827","TopLayer","90"
"R14G","R0603","12082.677","4263.779","TopLayer","90"
"R66G","R1206","12157.480","4125.984","TopLayer","0"
"R67G","R0402","12323.811","4408.102","TopLayer","180"
"R68G","R0402","12237.197","4408.102","TopLayer","180"
"R8H","R0603","11665.354","4122.047","TopLayer","90"
"R10H","R1206","11800.189","4112.827","TopLayer","90"
"R14H","R0603","11452.756","4263.779","TopLayer","90"
"R66H","R1206","11527.559","4125.984","TopLayer","0"
"R67H","R0402","11693.890","4408.102","TopLayer","180"
"R68H","R0402","11607.276","4408.102","TopLayer","180"
"R8I","R0603","11035.433","4122.047","TopLayer","90"
"R10I","R1206","11170.268","4112.827","TopLayer","90"
"R14I","R0603","10822.835","4263.779","TopLayer","90"
"R66I","R1206","10897.638","4125.984","TopLayer","0"
"R67I","R0402","11063.969","4408.102","TopLayer","180"
